OBJECTID;objektType;nveNetbasID;Plassering;nveNettnivaa;eier;eierOrgnr;navn;spenning_kV;longitude;latitude
19;Transformatorstasjon;MAGNHILDSKARET;MAGNHLDSKARET;;SOGN OG FJORDANE ENERGIVERK AS;;MAGNHILDSKARET;132;5.1928062097545515;61.66712573229984
20;Transformatorstasjon;SVELGEN 3 (INDREHUS);SVELGEN;;SOGN OG FJORDANE ENERGIVERK AS;;SVELGEN 3 (INDREHUS);66;5.2357281691005735;61.71699124146748
18;Transformatorstasjon;SVELGEN 132;SVELGEN;;SOGN OG FJORDANE ENERGIVERK AS;;SVELGEN 132;132;5.302662836794387;61.77151648428094
22;Transformatorstasjon;RUGSUND;RUGSUND;;SOGN OG FJORDANE ENERGIVERK AS;;RUGSUND;66;5.336611280752173;61.88103865535988
28;Transformatorstasjon;KJØDE;KJØDE;;SOGN OG FJORDANE ENERGIVERK AS;;KJØDE;66;5.458764186823566;61.99917554851601
27;Transformatorstasjon;BRYGGJA;BRYGGJA;;SOGN OG FJORDANE ENERGIVERK AS;;BRYGGJA;132;5.479615829228058;61.954348531381164
25;Transformatorstasjon;ÅLFOTEN;ÅLFOTEN;;SOGN OG FJORDANE ENERGIVERK AS;;ÅLFOTEN;420;5.5483923960258865;61.828650669631365
24;Transformatorstasjon;ÅSKORA;ÅSKORA;;SOGN OG FJORDANE ENERGIVERK AS;;ÅSKORA;132;5.6615131393329605;61.81143726426917
17;Transformatorstasjon;LUNDEN;LUNDEN;;SOGN OG FJORDANE ENERGIVERK AS;;LUNDEN;132;5.789505900150438;61.843838246704856
16;Transformatorstasjon;ØKSENELVANE;ØKSENELVANE;;SOGN OG FJORDANE ENERGIVERK AS;;ØKSENELVANE;66;5.801415395711969;61.842060671914844
23;Transformatorstasjon;EID TRAFOSTASJON;EID;;SOGN OG FJORDANE ENERGIVERK AS;;EID TRAFOSTASJON;66;6.003720367385958;61.90871349719016
